seller_id,has_company,has_gtin,average_stock,business_type,declared_product_catalog_size,declared_monthly_revenue,business_segment
2c43fb513632d29b3b58df74816f1b06,,,,reseller,,0.0,pet
bbb7d7893a450660432ea6652310ebb7,,,,reseller,,0.0,car_accessories
612170e34b97004b3ba37eae81836b4c,,,,reseller,,0.0,home_appliances
21e1781e36faf92725dde4730a88ca0f,,,,reseller,,0.0,food_drink
ed8cb7b190ceb6067227478e48cf8dde,,,,manufacturer,,0.0,home_appliances
1c742ac33582852aaf3bcfbf5893abcf,,,,manufacturer,,0.0,health_beauty
92d7568ad0c5c76fd7d341b2d46f24d6,,,,reseller,,0.0,computers
44ed138eca6214d572ce1d813fb0049b,,,,manufacturer,,0.0,health_beauty
0b28859cd04d23edefee9c591fb03cd8,,,,reseller,,0.0,household_utilities
87d73636a3acf123e842bb890a4db036,,,,manufacturer,,0.0,household_utilities
f7a0d94e966c5665355a182d5b199fcf,,,,reseller,,0.0,construction_tools_house_garden
b566ab0ef88016e00422755e305103c6,,,,reseller,,0.0,construction_tools_house_garden
2d2322d842118867781fc737e96d59a1,,,,reseller,,0.0,household_utilities
e7012030d0fdd1d3ca504f6de7909c35,,,,reseller,,0.0,toys
9e7c5f4d7770eab65738cca38f9efccf,,,,reseller,,0.0,sports_leisure
6a6b1614baaaf766293c17d8cb8c5a9d,,,20-50,reseller,2000.0,100000.0,stationery
df91910b6a03bb2e3358fa6a35e32f6f,,,,manufacturer,,0.0,food_drink
92d46311e4fa7583d14c351fdc881af6,,,,manufacturer,,0.0,food_supplement
249f0e9905a6e06ad6c6bea7547ab9f6,,,,manufacturer,,0.0,home_decor
b494891378bd8f4560abe576c52deacd,,,,reseller,,0.0,health_beauty
8c45b4bc4b5c1e2a4e789b4466a39b77,,,,reseller,,0.0,bed_bath_table
49f6ca9231352dedda1ad1176ce70531,,,,reseller,,0.0,health_beauty
7d13fca15225358621be4086e1eb0964,,,,reseller,,0.0,watches
efa89b428cbc422ba9313b4fc6feafc7,,,,manufacturer,,0.0,fashion_accessories
cb3666965a560e723403683bd378a5f7,,,,manufacturer,,0.0,jewerly
e819bcfade7b5d88a27325eb6cfd62c5,,,,manufacturer,,0.0,home_decor
70c27847eca8195c983ed7e798c56743,,,,reseller,,0.0,pet
556a6409838156ea299c9d1f9e2dde43,,,,reseller,,0.0,household_utilities
a4fc6eadaff1576af888509a53420f6a,,,,reseller,,0.0,computers
0975b0dd18febd1008391fa53dff0891,,,,manufacturer,,0.0,party
4fae87d32467e18eb46e4a76a0a0b9ce,True,True,20-50,reseller,,0.0,small_appliances
3525be8392a4fa3274c459bcfee41eef,,,,reseller,,0.0,food_supplement
8b181ee5518df84f18f4e1a43fe07923,,,,reseller,,0.0,health_beauty
d594982fd877af63ace38ea1fca27c76,,,,reseller,,0.0,audio_video_electronics
